"Menurut Anda, bagaimana pendapat anda tentang society 5.0 yang merupakan era munculnya big data, robotic dan kecerdasan buatan?","Menurut Anda, apakah muncunya society 5.0 berdampak pada semua bidang profesi akibat adanya big data, robotic dan kecerdasan buatan?","Menurut Anda, apakah profesi akuntansi merupakan salah satu bidang profesi yang terkena disrupsi?","Menurut Anda, apakah adanya disrupsi di bidang profesi akuntansi membuat profesi tersebut lebih banyak menggunakan teknologi robotic, big data dan kecerdasan buatan dalam aktifitasnya?","Menurut Anda, apakah adanya disrupsi membuat profesi akuntansi akan tergeser peranannya oleh robotic dan kecerdasan buatan dalam rentan waktu beberapa tahun kedepan?",Compound_Score,Sentiments
Pada era tersebut hampir seseluruh tenaga kerja ndustri di dunia akan terganti karena makin canggihnya teknologi yang ada,"Ya, hampir semua","tidak, akuntansi memiliki proses yg hanya manusia asli yg bisa melakukan proses tsb",No,No,-0.296,Negatif
society 5.0 muncul dengan tujuan memudahkan pekerjaan atau aktivitas yang dilakukan oleh manusia agar lebih cepat dan efisien dengan memanfaatkan teknologi.,"berdampak, seperti pekerjaan manusia yang digantikan dengan robot atau mesin.","menurut saya berdampak namun tidak terlalu signifikan, karena data tersebut harus dijalankan atau dilakukan oleh para akuntan yang mengetahui tentang sistem keuangan perusahaan.","lebih banyak, karena akuntansi berkaitan dengan banyak data.","for the short term no, but for the long term maybe over time it will be shifted little by little.",0.0,Netral
Menurut saya dengan adanya AI ini akan lebih memudahkan aktifitas manusia,"Berdampak, karena dengan adanya AI akan lebih memudahkan manusia dalam melakukan pengolahan data. Meskipun tetap dibutuhkannya seorang akuntan","Tidak, karena tetap dibutuhkannya para profesional akuntan","Tidak, tetapi tetap dibutuhkan AI dalam membantu para akuntan","No, because for serious data processing, accountants are still needed to process it",-0.0772,Negatif
"Pendapat saya, ya bagus, karena memang harus ada perkembangan/perubahan di kehidupan ini, tapi alangkah baiknya, kita harus selektif terhadap perubahan yg terjadi","Ada beberapa profesi yg terancam posisinya aman tergantikan oleh AI, karena suatu perusahaan akan lebih sedikit mengeluarkan beban gaji untuk karyawannya ","Jika dibidang audit, auditor tidak akan terancam pekerjaan, akan tetapi AI tersebut akan membantu menyelesaikan pekerjaan/proyeknya",Ya bisa membantu para pekerja dalam menyelesaikan proyek/tugasnya,The answer is the same as question no.3,0.0,Netral
menurut saya society 5.0 akan berdampak besar terhadap kemajuan sebab society 5.0 bisa dibilang konsep yang memungkinkan umat manusia menggunakan ilmu pengetahuan berbasis teknologi modern seperti AI dan robot untuk memenuhi kebutuhan dan mempermudah kehidupan manusia.,menurut saya berdampak karena adanya society 5.0 akan mempengaruhi semua profesi profesi dimana kemunculan tersebut akan mempermudah membantu pekerjaan di tiap bidangnya,iya berdampak,menurut saya jika menggunakan robot tidak bisa sebab profesi akuntansi membutuhkan kecerdasan dan ketilitian besar kemungkinan profesi akuntansi hanya dibantu oleh teknologi modern tetpi tdk bisa diganti robot,no... because the intelligence possessed by robots is not comparable to human IQ,0.4767,Positif
"Pastinya akan semakin terbantu dengan adanya AI, tapi juga menghawatirkan ketika AI ini akan mudah disalahgunakan oleh pihak pihak yang tidak bertanggung jawab","Menurut saya tidak semua profesi, karena ada beberapa profesi yang menurut pemikiran saya tidak dapat digantikan oleh AI seperti dokter, psikiater, atau profesi profesi yang melibatkan critical thinking juga melibatkan naluri",It could be,"Ya, tenaga akuntan akan terbantu dalam beberapa hal seperti sesederhana menyimpan bukti bukti transaksi","In my opinion, there is great potential if an accountant is replaced by AI, but in some ways AI is still unable to match human intelligence",0.7717,Positif
"menurut saya hal ini merupakan dampak keberhasilan pemikiran manusia demi kemudahan untuk menjalani kehidupan, jadi adanya society 5.0 juga tidak buruk","tidak semua, karena ada beberapa profesi yang meskipun kemajuan teknologi tidak dapat menggantikan peran profesi tersebut, salah satunya yaitu tenaga pendidik, memang bisa diganti dengan kecerdasan buatan namun tidak semua teknologi bisa memakai perasaan guna memahami peserta didiknya masing-masing",it could be,bisa jadi iya,"no, because after all the system will have no immediate effect in the short term",-0.296,Negatif
Adanya AI dapat membantu manusia dalam melakukan suatu pekerjaan,Iya berdampak,Can,"Iya, namun hal tersebut hanya sebagai pendukung dari suatu pekerjaan manusia","The presence of technology is one of the innovative findings that has a function to advance operational systems to become more flexible and easy to reach, so there is no reason that the presence of technology will definitely remove the role of the accountant. However, this forces accountants to modernize their thinking and abilities so they can adapt to changing times, so that their role from the accounting side will not disappear, but instead collaborate with technology.",0.6838,Positif
cukup baik dan memudahkan namun kemunculan tersebut bisa melemahkan tenaga kerja manusia karena tergantikan oleh robot ,menurut saya tidak semua namun sebagian besarr dapat menggantikan bidang profesi yang dikerjakan oleh manusia karena telah ada robot yang lebih canggih ,bisa jadi karena sudah banyak aplikasi aplikasi akuntansi yang sangat mudah untuk digunakan ,menurut saya dalam bidang profesi akuntansi masih belum banyak yang menggunakan teknologi robotic karena masih memerlukan tenaga manusia,"it could be because as the years go by, the technology becomes more and more sophisticated because everyone's knowledge is growing so that they can create this technology",0.788,Positif
"era society 5.0 yang memunculkan inovasi-inovasi tentu dapat mempermudah pekerjaan manusia dalam kesehariannya, bahkan dalam pekerjaannya. perlu adanya upaya penyesuaian oleh manusia untuk mengimbangi serta mengerti sepenuhnya tentang era society 5.0 ini. ",tentu society 5.0 ini berdampak pada beberapa profesi. saat ini sudah semakin banyak profesi yang menggunakan inovasi-inovasi era society 5.0 ini.,"iya, akuntansi merupakan salah satu profesi yang akan terkena dampak dari society 5.0 ini.",penggunaan teknologi robotic dan kecerdasan buatan yang muncul tentu akan semakin banyak digunakan dalam kegiatan bidang profesi saat terjadi disrupsi pada bidang tersebut,"the accounting profession will probably be displaced by artificial intelligence and robotics. in today's era. however, not completely replaceable. provided that the accounting profession can make adjustments and master the changes that occur",0.4767,Positif
"Pendapat saya tentang munculnya society 5.0, pekerjaan sekarang bisa sangat mudah dilakukan karena akan ada bantuan dari robotic dan semacamnya","Berkembangnya teknologi mengubah peran manusia dalam banyak hal. Banyak pekerjaan memang telah mampu digantikan oleh mesin, tetapi hal tersebut juga dibarengi dengan makin berkembangnya kemampuan manusia dalam berbagai hal baru.
","sesuai dengan catatan US News & World Report, profesi akuntan tidak akan hilang dan masih sangat dibutuhkan. Bahkan, akuntan berada dalam urutan ke-13 dalam daftar pekerjaan bidang bisnis terbaik pada 2021.

Menurut Accounting Today, akuntan akan mampu memainkan peran yang lebih strategis, meskipun beberapa fungsinya akan digantikan oleh mesin. Peran akuntan akan meluas. Misalnya, sebagai konsultan bisnis dan mitra strategis yang tidak hanya bertanggung jawab sebagai ahli keuangan","ya, karena semakin berkembang nya teknologi maka semakin berkembang juga pemikiran manusia yang menyebabkan ingin menggunakan teknologi robotic dan lain lain, akan tetapi pekerjaan akuntansi tidak bisa terganti kan dengan adanya robot","yes, because when there is a disruption, the existing interest in the accounting field will decrease because many are already using AI.",0.4939,Positif
konsep yang memungkinkan umat manusia menggunakan ilmu pengetahuan berbasis teknologi modern seperti AI dan robot untuk memenuhi kebutuhan dan mempermudah kehidupan manusia,"Iya, karena dengan adanya kemajuan teknologi tersebut semua aktivitas yang dilakukan menjadi praktis.","Tidak, dikarenakan dengan adanya akuntan sistem keuangan dapat terkendali dan teratur. Sehingga kita bisa  mengetahui sistem keuangan yang sedang dijalani.","Iya, karena dengan banyaknya era teknologi tersebut sebenarnya membuat seseorang menjadi  malas untuk melakukan secara manual, semua orang menginginkan secara praktis.","Not really, because the existence of the robot also requires humans to run the robot.",0.0,Netral
"menurut pendapat saya di era society 5.0 dengan munculnya kecerdasan buatan, robotic dll memberikan dampak yang sangat besar terhadap segala aspek kehidupan. dampak yang diberikan sangat bermanfaat bagi banyak orang namun tak jarang juga dapat memberikan dampak negatif. tergantung dari pemanfaatan teknologi teesebut. apalagi kalau suatu saat dapat menggantikan profesi manusia.",iya. semua bidang profesi mendapat dampak dari adanya society 5.0 . mungkin hal ini memang dapat membantu mereka dalam membantu menyelesaikan pekerjaan namun apabila kecerdasan buatan ini terlalu cerdas dapat menggantikan posisi manusia dalam segala pekerjaan dan hal ini tidaklah baik,"kemungkinan besar bisa berdampak. dengan semakin canggihnya teknologi, bidang profesi Akuntan dapat dengan mudah digantikan oleh teknologi kecerdasan buatan ","iya, karena menggunakan teknologi dinilai dapat mengerjakan pekerjaan dengan efektif dan efisien maka kebanyakan orang pasti lebih memilih menggunakan teknologi robotik, big data dan kecerdasan buatan ","yes, human capabilities are not commensurate with the speed of robots and technology, so the human role can easily be replaced by artificial intelligence",0.802,Positif
saya tidak terlalu tau apa itu robotic,sangat berdampak untuk kita semua,can,iya sangat berpengaruh karena diera sekarang masih belom banyak dilakukan,5 to 10 years in the future,0.0,Netral
sangat bagus,tidak semua apabila masih ada yang menggunakan manual,menurut saya tidak,"mungkin untuk sebagian besar ya, namun tidak semua menggunakan teknologi robotic","Yes, in the next few years maybe",0.4019,Positif
Menurut saya teknologi ini sangat baik dan bisa diikuti oleh generasi milenial,Tifak semua karena ada beberapa yang masih menggubakan manual,"Iya, karena peraturan teknologi juga berkembang dengan cepat",Can,"Yes, with very sophisticated technology, this profession is likely to be replaced",0.7645,Positif
Menurut saya sangat keren pastinya dengan zaman sekarang tetapi tidak semua orang juga bisa mengikuti perkembangan tersebut,iya karena bidang profesi tersebut berkaitan dengan teknologi ,it could be,kemungkinan iya karena di era digitalisasi semua akan beralih menggunakan teknologi robotic,"no because as the robotic era develops, it will continue to make changes and become more sophisticated for the better",0.6801,Positif
Society 5.0 sebagai peluang besar untuk membantu memudahkan dalam mengambil keputusan yang lebih baik dan meningkatkan efisiensi produksi.,"Iya, salah satunya adalah risiko hilangnya pekerjaan akibat otomatisasi dan robotisasi yang semakin luas.","Iya, profesi akuntansi telah mengalami beberapa disrupsi dalam beberapa tahun terakhir. Salah satu contoh disrupsi di bidang akuntansi yaitu pengenalan perangkat lunak akuntansi berbasis cloud.","Iya, teknologi otomatis seperti AI dapat digunakan untuk memproses faktur, menyelesaikan rekonsiliasi bank, dan menghasilkan laporan keuangan yang dapat mengurangi waktu yang dibutuhkan oleh akuntan.","No, accountants are still required to provide professional judgment and advice to clients. The role of the accountant may change but will not completely disappear.",0.3235,Positif
"Era society 5.0 merupakan era munculnya kecerdasan buatan, robotic, dan data besar. Manusia memanfaatkan teknologi  membuat hal tersebut untuk mempermudah pekerjaan manusia dan hal tersebut pastinya memiliki dampak negatif dan positif.","Ya, munculnya society 5.0 memiliki dampak terhadap semua profesi. ","Ya, profesi akuntansi merupakan bidang profesi yang akan terkena disrupsi","Adanya disrupsi di bidang profesi akuntansi, membuat profesi tsb akan menggunakan dan memanfaatkan teknologi ","Even though the role of the accounting profession will be replaced by robotics, there is still a need for human resources to support this technology.",0.4019,Positif
"Sekarang AI sangatlah merajalela, takutnya banyak pekerjaan manusia yang tergantikan ",I think so,"Mungkin tidak, dikarenakan mengelola masalah keuangan tidak tentu bisa dilakukan oleh teknologi, dan tetap membutuhkan tenaga manusia",Maybe,"Yes, because today's AI is very sophisticated, so it might later resemble human thinking",0.7645,Positif
Menurut saya hal tersebut baik namun di setiap adanya teknologi baru pasti memiliki kekurangan,"iya, berdampak",can,"tidak juga, karena mau tidak mau dalam bagian akuntansi pasti tetap membutuhkan SDM untuk lebih teliti dan detail",it could be,0.0,Netral
"Sangat membantu mempermudah dalam mengerjakan sebuah tugas, namun juga menjerumuskan karena manusia jadi malas belajarm",Iya berdampak ,"Tidak selalu, karena profesi akuntansi juga sangat penting dilakukan oleh manusia.","Iya, lebih banyak menggunakan teknologi ","Maybe it could, because humans often falsify a report. If you use technology, this fake can be reduced and even avoided.",-0.8412,Negatif
"Luar biasa, efeknya mempermudah kita hidup",Hampir berdampak pada semua bidang,"Salah satu yang terkena disrupsi, tapi tidak terlalu parah menurut saya",Can,Maybe,0.0,Netral
"Hal ini dapat menjadi suatu solusi untuk mengatasi keterancaman lingkungan kita. Karena konsep Society 5.0 mempercayai bahwa kinerja suatu perusahaan atau rumah produksi tidak hanya berpatokan pada ukuran keuangan saja, melainkan juga sejahteraan dari masyarakat serta pekerjanya. ","Iya, kadena pada era society 5.0 hampir semua bidang pekerjaan kerah putih bisa tergantikan, yang pada dasarnya mengandalkan kemampuan intelektual. AI bukanlah hanya perangkat yang akan membantu manusia, melainkan juga bisa menggantikan manusia. Semua pekerjaan profesional seperti insinyur, dokter, akuntan, dan pengacara bisa digantikan.","Iya, karena banyak yang lebih menggunakan komputer akuntansi seperti myob, zahir, accurate, dll. Hal ini disebabkan lebih efektif dan menghemat waktu serta biaya. ","Ada, karena pekerjaan akuntan dan auditor akan diambil alih oleh peran robot/komputer","Despite experiencing many changes, the accounting profession is still considered to exist today. In order to be able to adapt to the increasingly sophisticated era of digital transformation, an accountant needs to upgrade his quality.",0.5574,Positif
"Saya melihat potensi besar dari konsep Society 5.0, terutama dalam hal memecahkan masalah kompleks dan mendesak yang dihadapi oleh masyarakat saat ini. Dengan memanfaatkan big data, robotik, dan kecerdasan buatan, kita dapat mengembangkan solusi cerdas untuk mengoptimalkan penggunaan sumber daya dan mengurangi dampak lingkungan. Selain itu, teknologi ini juga dapat digunakan untuk meningkatkan akses dan kualitas pendidikan, kesehatan, dan layanan publik lainnya.","Ya, munculnya Society 5.0 akan berdampak pada semua bidang profesi, termasuk profesi akuntansi. Hal ini dikarenakan perkembangan teknologi big data, robotic, dan kecerdasan buatan akan mempengaruhi cara kerja dan tuntutan dalam berbagai profesi.","Ya, profesi akuntansi adalah salah satu bidang profesi yang terkena dampak disrupsi, terutama karena kemajuan teknologi dan otomatisasi. Dalam beberapa tahun terakhir, teknologi telah memungkinkan perusahaan untuk memanfaatkan sistem akuntansi yang lebih canggih dan otomatis, sehingga pekerjaan akuntansi yang sebelumnya dilakukan oleh manusia dapat dilakukan oleh komputer.
","Ya, perkembangan teknologi seperti robotic, big data, dan kecerdasan buatan memang mempengaruhi aktivitas dalam bidang profesi akuntansi, sehingga semakin banyak digunakan dalam praktik akuntansi. Teknologi robotic dapat digunakan untuk mengotomatisasi dan mempercepat proses akuntansi, seperti pencatatan transaksi, pengecekan kebenaran data, dan pemrosesan laporan keuangan. 
","Technological developments such as robotics and artificial intelligence have had a major impact on accounting practices. However, this disruption does not mean that the human role in accounting practice will be completely replaced by technology in the next few years. Although technology can be used to automate and speed up the accounting process, it still requires human skills and knowledge to interpret data, evaluate information, and make the right decisions.",0.058,Positif
menurut saya society 5.0 ini akan mempengaruhi beberapa bidang profesi dimana mungkin beberapa orang akan memanfaatknnya karena menganggap akan lebih praktis dan efisien jika menggunakan teknologi robotic atau lainnya. ,menurut saya beberapa akan terdampak akam tetapi tidak semua karena tidak semua pekerjaan manusia dapat digantikan oleh teknologi karena secanggih canggihnya teknologi pekerjaan manusia tetap dibutuhkan,"iya mungkin, karena saat ini banyak juga aplikasi² penghitung cepat seperti excel dan sebagainya",iya karena mungkin kedepannya penggunaan ini akan dianggap lebih efisien dan juga meminimalisir terjadinya kesalahan karena semuanya serba otomatis,"I think this might happen but not in the near future because accounting also requires accuracy and also I think even if it is replaced by robotics, robotics will be done by humans",0.0,Netral
Menurut saya era ini sangat membantu untuk memudahkan manusia dalam menjalani kehidupan sehari hari ,Menurut saya iya berdampak,Menurut saya bisa saja,Iya bisa saja karena semakin canggih akan memudahkan pengguna yang membutuhkan.,"It could be, because with robotics the process of financial reports etc. can be shorter and easier than humans who are tired and sometimes input incorrectly.",-0.0258,Negatif
"Society 5.0 dengan munculnya big data, robotic dan kecerdasan buatan sangat bermanfaat bagi pemenuhan kebutuhan dan mempermudah kehidupan manusia. Dimana pada saat ini tentunya perubahan teknologi tentunya sangat berpengaruh dan sangat dibutuhkan dalam segala aspek.","Iya, karena di luar negeri banyaknya big data, robotic, dan kecerdasan buatan membuat tergesernya manusia dalam lapangan pekerjaan. Akibat dari kecepatan akses untuk teknologi lebih cepat dan menghasilkan laba maksimum bagi perusahaan. Dan itu juga berdampak pada angka kelahiran suatu negara dimana lebih memilih berkutat dengan teknologi. ","Iya, karena sekarang ini sudah banyak big data seperti aplikasi akuntansi yang dapat digunakan oleh orang awam yang hampir tidak pernah belajar akuntansi. Seperti sistem informasi penjualan financial technology.","Iya, namun menurut saya perusahaan masih memerlukan seorang akuntan dikarenakan tidak semua robot atau big data dapat bertahan lama dengan umur ekonomis yang tentunya akan semakin berkurang. Dan walau dengan kecerdasan buatan namun kecerdasan buatan tersebut tidak ada naluri atau kesadaran yang membuat perlu adanya orang yang mengawasi dan menjalankan IA tersebut. ","No, because at the moment Indonesia is still a developing country which of course if it turns into a developed country it will take a long time.",0.0,Netral
"Menurut saya society 5.0 dapat memberikan banyak manfaat jika dikelola dengan baik. Big data, misalnya, dapat digunakan untuk membuat keputusan yang lebih tepat dan efisien dalam berbagai aspek kehidupan, seperti kesehatan, transportasi, dan manajemen sumber daya alam","Ya, munculnya Society 5.0 dapat berdampak pada semua bidang profesi, termasuk dalam akuntansi, keuangan, teknologi informasi, kesehatan, pendidikan, dan lain-lain.",Menurut saya Iya,"Ya, menurut saya ada disrupsi di bidang profesi",I don't think the accounting profession will be completely displaced by artificial intelligence in the next few years,0.4767,Positif
"Era ini sangat keren, menurut saya perkembangan dunia benar benar hebat",Menurut saya tidak semua profesi terdampak,Menurut saya dengan adanya teknologi terbaru ini untuk membantu kita dan memudahkan untuk input data akuntansi. tapi tetap saja representasi dan keputusan yang di ambil dari hasil data itu tidak dapat tergantikan oleh robot karena semua tergantung pada situasi dan kondisi ,"iya, menggunakan tekhnologi robotic hanya untuk memudahkan saja","maybe in the next few years the technology will be more sophisticated, but that only helps for inputting. In the next few years, we must also improve our quality so that technology cannot replace it.",0.8656,Positif
"Society 5.0 adalah sebuah konsep yang berpusat pada manusia yang berbasis pada teknologi, dimana konsep ini dikembangkan oleh Jepang untuk menjelaskan visi masa depan masyarakat yang digerakkan oleh teknologi tinggi.",ya karena konsep society 5.0 memungkinkan umat manusia menggunakan ilmu pengetahuan berbasis teknologi modern seperti AI dan robot untuk memenuhi kebutuhan dan mempermudah kehidupan manusia.,"ya sehingga akuntan harus menyiapkan Membuat manajemen waktu, manajemen waktu yang baik seseorang akan lebih bisa terorganisir dalam menyelesaikan pekerjaan.","ya, karena kemajuan teknologi yang semakin canggih membuat peran manusia tergeserkan","yes, because the changes that have occurred have resulted in a decrease in the role and need for accountants in the world of work and so they have to move to other fields of work or industries.",0.4019,Positif
Menurut saya society 5.0 merupakan peluang besar bagi kita untuk belajar lebih jauh lagi untuk memanfaatkan berbagai perkembangan yang kian maju. Namun hal ini juga menjadi tantangan dan ancaman bagi kami selaku calon akuntan yang mana bisa saja di masa depan profesi kita dapat digantikan oleh robot.,"ya, menurut saya berdampak","Ya, termasuk dalam profesi yang terkena disrupsi","Penggunaan teknologi robotic tentunya diperlukan dalam profesi akuntansi di masa depan. Namun, seorang profesi akuntan sendiri tetap lebih dibutuhkan karena seseorang yang akan memrogram teknologi dalam akuntansi tersebut tidak lain ialah seorang akuntan itu sendiri. Dan jika terdapat kesalahan error data atau terserang malware, peran seorang akuntan sangat diperlukan di sini","I think it might be shifted. However, just like my previous answer, an accountant in the future will still be needed. Given that controlling technology and managing technology in the field of accounting is an accountant himself.",0.3612,Positif
"menurut saya society 5.0 ini termasuk konsep teknologi yang menarik dan bermanfaat tetapi tetap menggunakan dengan bijak, dan menjadi pembantu dalam ilmu pengetahuan bukan untuk pegangan","menurut saya tidak, karena pengoperasian teknologi inipun pasti dirancang oleh ajli manusia, dan pasti terus perlu untuk dikembangakan. jadi pastinya (wallahu alam) ada profesi yang tidak bisa digatikan","mungkin iya dan mungkin tidak, karena profesi dalam bidang akuntansi pun cukup banyak dan juga kembali aplikasi yang menggatikan pun pasti butuh ahli nya",bisa jadi iya karena memudahkan seseotang dalam melakukan pekerjaan nya,"maybe yes and maybe no, because the continued development of technology makes all jobs easier",0.6705,Positif
"era society 5.0 ini merupakan era semakin canggihnya dunia dalam semua hal. semakin lama beberapa hal di dunia ini akan tergantikan oleh teknologi seperti big data, robotic, kecerdasan buatan",Menurut saya tidak semua profesi akan berdampak pada munculnya society 5.0,Bisa iya bisa juga tidak,"mungkin semakin berkembangnya teknologi akan mendorong profesi akuntan untuk banyak menggunakan teknologi robotic, bigdata, dll. ","maybe a little shifted because of robotics and artificial intelligence, but in some ways it can only be done by humans with the accounting profession",0.2617,Positif
Kalau dari saya sendiri hal tersebut banyak sekali memiliki manfaat dan sangat membantu untuk perkembangan jaman memudahkan manusia dalam melakukan sesuatu dan ada tantangan tersendiri dimana SDM manusia dibeberapa profesi mulai tidak dibutuhkan pada halnya teknologi tersebut seperti pedang bermata 2,"Sependek pengetahuan saya pastinya ada beberapa profesi yang tergeser dalam bidang tertentu dan itu juga menjadi tantangan tersendiri kepada diri sendiri untuk lebih meningkatkan hal"" yg tidak dipunyai oleh kecerdasan buatan atau ai",Kalau dari yang saya dengar akuntansi terkena disrupsi tetapi kita sebagai akuntan memiliki sisi kelibhan yang tidak dipunyai oleh ai tersebut dan hal itu yang harus kita kembangkan,"Mungkin tetap saja 60% menggunakan manusia,karena sistem ai merupakan buatan manusia yang sewaktu"" pasti terjadi error atau perlu tambahan data"" lagi untuk mengikuti perkembangan jaman ",Maybe you can but we as artificial intelligence makers definitely have many advantages over AI,0.899,Positif
Society 5.0 adalah hal yang bagus bila kita dapat menyesuaikan diri dan upgrade diri,"Tidak semua bidang, mungkin dalam profesi lain seperti psikolog tidak dapat digantikan karena profesi tersebut tidak sistematis ",Mungkin iyaaa,"Iyaa, karena bidang akuntansi sendiri dapat dibantu oleh teknologi yang ada saat ini","Maybe it can be replaced, but not all accounting activities can be replaced",0.0,Netral
"munculnya big data, robotic dan kecerdasan buatan saat ini banyak membantu masyarakat, mahasiswa, maupun pelajar di berbagai bidang. Hal tersebut dapat membantu meringankan berbagai pekerjaan maupun kegiatan di kehidupan sehari hari",Berdampak,"Ya, karena walaupun belum sempurna saat ini banyak perusahaan besaryang mengembangkan kecerdasan buatan untuk menyelesaikan peemasalahan di bidang akuntansi.","Ya, walaupun begitu masih dibutuhkan seorang akuntan untuk menangani masalah masalah yang bersifat lebih rumit dan membutuhkan pengalaman nyata dalam menangani akuntansi seperti dalam pembuatan keputusan","It could be, because the existence of artificial intelligence makes accounting work easier which also has a negative impact on accountant work because of course it will reduce the number of accountants needed by a company",0.3612,Positif
munculnya society 5.0 menurut saya cukup bagus dalam membantu manusia dalam teknologi. Namun pengembangan society 5.0 juga harus ada dibarengi dengan kesadaran bahwa kita hanya membutuhkan teknologi yang dapat membantu pekerjaan kita bukan yang menggantikan kita. ,"munculnya society 5.0 menurut pendapat saya memiliki dampak pada semua bidang. namun, dampak tersebut juga tidak dapat digantikan secara sepenuhnya kepada semua bidang profesi. ","Menurut saya, iyaa namun disrupsi disini lebih ke arah positif karena membantu kita dalam mengolah data keuangan. ","menurut saya, tidak karena meskipun dalam pengeolahan datanya menggunakan teknologi namun dalam pemahaman dan penginterpasiannya masih membutuhkan manusia. ","I don't think so, because even though robotics can do everything. but what is called the accounting profession requires other things besides just working on financial data",0.0,Netral
menurut pendapat saya sengan society5.0 memudahkan kebutuhan manusia dengan penggunaan ilmu pengetahuan berbasis teknologi modern,"berdampak, karena pastinya manusia akan tergantikan oleh teknologi",menurut saya untuk saat ini belum begitu berdampak. karena profesi akuntansi masih sangat membutuhkan sdm,"pastinya iyaa, mungkin salah satu alasan profesi akuntansi menggunakan teknologi robotic, dsb. karena menghindari terjadinya human error","maybe, because you see a world that is getting more advanced. and may be more efficient if using technology",0.6582,Positif
"Society 5.0 adalah sebuah konsep yang berpusat pada manusia yang berbasis pada teknologi, dimana konsep ini dikembangkan oleh Jepang untuk menjelaskan visi masa depan masyarakat yang digerakkan oleh teknologi tinggi.",Iya karena konsep society 5.0 memungkinkan umat manusia menggunakan ilmu pengetahuan berbasis teknologi modern seperti AI dan robot untuk memenuhi kebutuhan dan mempermudah kehidupan manusia.,"Iya, kemungkinan akan terkena dampak disrupsi. Ini juga tantangan bagi akuntan dalam bersaing melawan teknologi","Iya, karena kemajuan teknologi yang semakin canggih membuat peran manusia tergeserkan","Yes, because the changes that have occurred have resulted in a decrease in the role and need for accountants in the world of work and so they have to move to other fields of work or industries.",0.4019,Positif
"Adanya society 5.0 berdampak negativ dan juga bisa berdampak positif dalam kehidupan ini salah satu dampak yg paling besar adalah berkurangnya peran seorang manusia di dalamnya, tetapi juga berdampak positif karena dengan kemudahan yang terjadi maka pekerjaan akan lebih cepat dan efisien.","Berdampak mungkin ke beberapa profesi, khususnya pada bagian administrasi.",Tidak.,Perkembangan 5.0 hanya membantu profesi akuntan supaya lebih efisien,"No. Because the job of an accountant is not only to make financial reports for a business, but more than that they are tasked with interpreting these reports into information, so that they can be used to make profitable business decisions.",0.5927,Positif
konsep yang memungkinkan umat manusia menggunakan ilmu pengetahuan berbasis teknologi modern seperti AI dan robot untuk memenuhi kebutuhan dan mempermudah kehidupan manusia.,Ada yg berdampak ada yg tidak,Menurut saya tidak karena walaupun nanti era sudah maju dan semua menggunakan komputer tetap saja akuntan dibutuhkan untuk mengecek kembali ,No,No,-0.296,Negatif
"ada bagusnya dan tidak bagusnya
bagusnya untuk Lebih efisien mengurangi resiko dan lain lain
namun tidak bagusnya karena mengurangi lapangan kerja.",can,iya bisa tapi tidak semuanya karena pada dasarnya profesi akuntansi yang memahami pekerjaannya adalah akuntan itu sndiri.Pekerjaan akuntan bergeser ke hal-hal yang lekat dengan judgement dan discretionary dan profesi akuntan harus meningkatkan keahliannya. ,No,"yes, but the accountant himself still has to improve his own intelligence",0.8705,Positif
"Saya melihat society 5.0 merupakan potensi yabg sangat besar dalam penggunaan teknologi untuk memecahkan masalah sosial serta untuk perihal meningkatkan kualitas hidup manusia. Di era ini, informasi dapat diambil dari berbagai sumber dan dianalisis untuk menghasilkan wawasan baru tentang bagaimana masalah sosial tersebut dapat diatasi. ","Society 5.0. akan memungkinkan perusahaan untuk melakukan analisis data yang lebih akurat, produksi dan distribusi produk yang cepat, serta berkurangnya biaya produksi. Hal ini dapat membantu perusahaan untuk menjadi lebih efisien dan produktif, namun hal ini pasti akan menggantikan beberapa bidang profesi, terlebih di sektor pelayanan publik. Dan kedepannya pasti akan menciptakan kesenjangan sosial serta pengangguran.","Ya, karena dengan adanya big data yang kian canggih dan termutakhir, segala arus keuangan serta analisisnya pasti akan tergantikan dengan teknik pengumpulan data dan analisis yang selalu dikembangkan oleh teknologi di zaman society 5.0 ini.","Ya, karena Society 5.0. akan memungkinkan perusahaan untuk melakukan analisis data keuangan yang lebih akurat, produksi dan distribusi laporan yang cepat, serta berkurangnya biaya produksi, yaitu beban gaji untuk akuntan.","No, because the position of accountant is always needed as an individual who can perform more in-depth analysis, provide more complex advice, and provide a broader business perspective.",0.0,Netral
Terjadi perkembangan teknologi yang pesat yang membantu pekerjaan manusia,Tidak semua,"Tidak semua profesi akuntansi terdisrupsi
Mungkin pekerjaan yang tidak memerlukan human sense akan terkena dampak",Can,Yes but not all,0.2144,Positif
"Menurut saya sangat membantu karena lebih memudahkan, tetapi memiliki kerugian juga bagi kita yang masih menggunakan cara konvensional.","Tentu saya ya, memberikan dampak positif dan negatif.",I think so,I think so,Most likely yes :(,-0.0478,Negatif
Iya menurut saya sangat membantu ,Of,Of,Of,Again,0.0,Netral
Menurut saya itu baik tetapi juga akan berdampak pada bidang profesi yang bisa digeser ,"Mwnurut saya tidak, sebab ada bidang profesi yang tidak dapat digantikan oleh society 5.0 seperti profesi seniman pemahat patung dan pelukis",Can,"Menurut saya iya, karena perusahaan lebih memilih menggunakan teknologi tersebut karena mungkin dianggap lebih efektif, tetapi ini tentu berdampak pada pengurangan tenaga kerja","In my opinion, the accounting profession could be shifted",0.0,Netral
